Cela	Pd	CELA
Vous	Pp	VOUS
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
?	Fs	?
Dites	Vvc	DIRE
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
,	Fw	,
et	Cc	ET
Madame	Nc	MADAME
tout	Rg	TOUT
court	Ag	COURT
,	Fw	,
entendez	Vvc	ENTENDRE
-vous	Nc	-vous
?	Fs	?
Madame	Nc	MADAME
,	Fw	,
tout	Di	TOUT
court	Ag	COURT
!	Fs	!
Ah	I	AH
!	Fs	!
Je	Pp	JE
n’en	Nc	n’en
puis	Vvc	POUVOIR
plus	Rg	PLUS
.	Fs	.
Ma	Ds	MON
sœur	Ag	sœur
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
et	Cc	ET
moi	Pp	JE
Procureuse	Ag	Procureuse
!	Fs	!
Un	Dn	UN
siège	Nc	SIÈGE
,	Fw	,
et	Cc	ET
tôt	Rg	TÔT
,	Fw	,
dépêchez	Vvc	DÉPÊCHER
,	Fw	,
Lisette	Nc	LISETTE
.	Fs	.
Madame	Nc	MADAME
,	Fw	,
Madame	Nc	MADAME
;	Fw	;
holà	Nc	HOLÀ
donc	Rg	DONC
,	Fw	,
Madame	Nc	MADAME
.	Fs	.
Vous	Pp	VOUS
seriez	Vuc	ÊTRE
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
vous	Pp	VOUS
,	Fw	,
ma	Ds	MON
cousine	Nc	COUSIN
la	Pp	IL
Greffière	Vvc	Greffière
?	Fs	?
Ah	I	AH
!	Fs	!
Plus	Rg	PLUS
de	S	DE
cousinage	Nc	cousinage
,	Fw	,
Madame	Nc	MADAME
l’Élue	Vvc	l’Élue
,	Fw	,
plus	Rg	PLUS
de	S	DE
cousinage	Nc	cousinage
.	Fs	.
Un	Dn	UN
fauteuil	Nc	FAUTEUIL
aussi	Rg	AUSSI
;	Fw	;
tôt	Rg	TÔT
,	Fw	,
du	S+Da	DE+LE
secours	Nc	SECOURS
;	Fw	;
à	S	À
moi	Pp	JE
Lisette	Vvc	Lisette
.	Fs	.
Oh	I	OH
,	Fw	,
par	S	PAR
ma	Ds	MON
foi	Nc	FOI
,	Fw	,
donnez	Vvc	DONNER
-vous	Ag	-vous
patience	Nc	PATIENCE
.	Fs	.
Je	Pp	JE
m’affaiblis	Vvc	m’affaiblis
,	Fw	,
je	Pp	JE
suffoque	Vvc	SUFFOQUER
,	Fw	,
j’agonise	Vvc	j’agonise
,	Fw	,
et	Cc	ET
je	Pp	JE
m’en	Nc	m’en
vais	Vvc	ALLER
mourir	Vvn	MOURIR
de	S	DE
mort	Nc	MORT
subite	Ag	SUBIT
.	Fs	.
Écoutez	Nc	Écoutez
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
,	Fw	,
il	Pp	IL
n’y	Vvc	n’y
a	S	À
qu’un	Ag	qu’un
mot	Nc	MOT
qui	Pr	QUI
serve	Vvc	SERVIR
.	Fs	.
Vous	Pp	VOUS
voulez	Vvc	VOULOIR
le	Pp	IL
porter	Vvn	PORTER
plus	Rg	PLUS
beau	Ag	BEAU
que	Cs	QUE
moi	Pp	JE
,	Fw	,
parce	Vvc	parce
que	Cs	QUE
vous	Pp	VOUS
êtes	Vuc	ÊTRE
mon	Ds	MON
aînée	Nc	AÎNÉ
,	Fw	,
ç’a	Nc	ç’a
toujours	Rg	TOUJOURS
été	Ge	ÊTRE
votre	Ds	VOTRE
fureur	Nc	FUREUR
:	Fw	:
mais	Cc	MAIS
je	Pp	JE
me	Pp	JE
séparerais	Vvc	SÉPARER
d’avec	Nc	d’avec
mon	Ds	MON
mari	Nc	MARI
,	Fw	,
s’il	Nc	s’il
fallait	Vvc	FALLOIR
avoir	Vun	AVOIR
ce	Dd	CE
déboire	Nc	DÉBOIRE
-là	Vvc	-là
.	Fs	.
Vous	Pp	VOUS
verrez	Vvc	VOIR
de	S	DE
belles	Ag	BEAU
oppositions	Nc	OPPOSITION
,	Fw	,
laissez	Vvc	LAISSER
faire	Vvn	FAIRE
.	Fs	.
Il	Pp	IL
ne	Rp	NE
faut	Vvc	FAILLIR|FALLOIR
pas	Rg	PAS
que	Cs	QUE
la	Da	LE
famille	Nc	FAMILLE
demeure	Vvc	DEMEURER
les	Da	LE
bras	Nc	BRAS
croisés	Ge	CROISER
,	Fw	,
dans	S	DANS
cette	Dd	CE
affaire	Nc	AFFAIRE|AFFAIRÉ
-ci	Ag	-ci
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
agir	Vvn	AGIR
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
se	Pp	IL
remuer	Vvn	REMUER
,	Fw	,
ma	Ds	MON
cousine	Nc	COUSIN
.	Fs	.
Oh	I	OH
,	Fw	,
remuez	Vvc	REMUER
-vous	Nc	-vous
,	Fw	,
remuez	Vvc	REMUER
-vous	Nc	-vous
,	Fw	,
je	Pp	JE
me	Pp	JE
remuerai	Vvc	REMUER
aussi	Rg	AUSSI
,	Fw	,
moi	Pp	JE
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
réponds	Vvc	RÉPONDRE
.	Fs	.
Mort	Nc	MORT
de	S	DE
ma	Ds	MON
vie	Nc	VIE
,	Fw	,
que	Cs	QUE
de	S	DE
mouvement	Nc	MOUVEMENT
!	Fs	!
Voilà	Vvc	Voilà
une	Dn	UN
famille	Nc	FAMILLE
bien	Rg	BIEN
sémillante	Ag	SÉMILLANT
!	Fs	!
Mais	Cc	MAIS
,	Fw	,
vraiment	Rg	VRAIMENT
,	Fw	,
je	Pp	JE
les	Pp	ILS
trouve	Vvc	TROUVER
admirables	Ag	ADMIRABLE
,	Fw	,
elles	Pp	ILS
m’empêcheront	Vvc	m’empêcheront
de	S	DE
m’élever	Nc	m’élever
,	Fw	,
de	S	DE
faire	Vvn	FAIRE
fortune	Nc	FORTUNE
:	Fw	:
ces	Dd	CE
Bourgillonnes	Ag	Bourgillonnes
-là	Nc	-là
sont	Vuc	ÊTRE
si	Rg	SI
ridicules	Ag	RIDICULE
...	Fs	...
Bourgillonnes	Vvc	Bourgillonnes
,	Fw	,
Madame	Nc	MADAME
l’Élue	Vvc	l’Élue
,	Fw	,
Bourgillonnes	Vvc	Bourgillonnes
!	Fs	!
Ah	I	AH
,	Fw	,
Ciel	Vvc	Ciel
!	Fs	!
Bourguillonne	Vvc	Bourguillonne
,	Fw	,
moi	Pp	JE
qui	Pr	QUI
suis	Vuc	ÊTRE
,	Fw	,
par	S	PAR
la	Da	LE
grâce	Nc	GRÂCE
de	S	DE
Dieu	Nc	DIEU
,	Fw	,
fille	Nc	FILLE
,	Fw	,
sœur	Nc	sœur
et	Cc	ET
nièce	Nc	NIÈCE
de	S	DE
Notaire	Nc	NOTAIRE
,	Fw	,
et	Cc	ET
femme	Nc	FEMME
d’un	Ag	d’un
Élu	Nc	Élu
,	Fw	,
ma	Ds	MON
cousine	Nc	COUSIN
.	Fs	.
Et	Cc	ET
moi	Pp	JE
,	Fw	,
ma	Ds	MON
cousine	Nc	COUSIN
,	Fw	,
qui	Pr	QUI
ai	Vuc	AVOIR
eu	Ge	AVOIR
plus	Rg	PLUS
de	S	DE
treize	Nc	TREIZE
mille	Nc	MILLE
francs	Ag	FRANC
en	S	EN
mariage	Nc	MARIAGE
,	Fw	,
tant	Rg	TANT
en	S	EN
argent	Nc	ARGENT
comptant	Ga	COMPTER
,	Fw	,
qu’en	Ag	qu’en
nippes	Nc	NIPPE
et	Cc	ET
bijoux	Nc	BIJOU
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
dans	S	DANS
une	Dn	UN
colère	Nc	COLÈRE
...	Fs	...
Et	Vvc	Et
moi	Pp	JE
dans	S	DANS
une	Dn	UN
rage	Nc	RAGE
.	Fs	.
Oh	I	OH
,	Fw	,
je	Pp	JE
deviendrai	Vvc	DEVENIR
furieuse	Ag	FURIEUX
,	Fw	,
moi	Pp	JE
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
en	Pp	EN
avertis	Vvc	AVERTIR
,	Fw	,
prenez	Vvc	PRENDRE
-y	Ag	-y
garde	Nc	GARDE
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
là	Rg	LÀ
,	Fw	,
là	Rg	LÀ
,	Fw	,
Mesdames	Vvc	Mesdames
,	Fw	,
un	Dn	UN
peu	Rg	PEU
de	S	DE
modération	Nc	MODÉRATION
,	Fw	,
voulez	Vvc	VOULOIR
-vous	Nc	-vous
donner	Vvn	DONNER
à	S	À
rire	Vvn	RIRE
à	S	À
tout	Di	TOUT
le	Da	LE
Village	Nc	VILLAGE
?	Fs	?
Voilà	Vvc	Voilà
cette	Dd	CE
grosse	Ag	GROS
Marchande	Nc	MARCHAND
de	S	DE
laine	Nc	LAINE
de	S	DE
la	Da	LE
rue	Nc	RUE
des	S+Da	DE+LE|DE+LES
Lombards	Nc	LOMBARD
,	Fw	,
qui	Pr	QUI
,	Fw	,
comme	Cs	COMME
vous	Pp	VOUS
savez	Vvc	SAVOIR
,	Fw	,
n’est	Nc	n’est
pas	Rg	PAS
une	Dn	UN
bonne	Ag	BON
langue	Nc	LANGUE
.	Fs	.
Bonjour	I	BONJOUR
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
.	Fs	.
Madame	Nc	MADAME
Carmin	Ag	CARMIN
,	Fw	,
votre	Ds	VOTRE
très	Rg	TRÈS
humble	Ag	HUMBLE
servante	Nc	SERVANT|SERVANTE|SERVITEUR
.	Fs	.
Je	Pp	JE
ne	Rp	NE
puis	Vvc	POUVOIR
pas	Rg	PAS
être	Vun	ÊTRE
de	S	DE
votre	Ds	VOTRE
souper	Nc	SOUPER
,	Fw	,
je	Pp	JE
m’en	Nc	m’en
retourne	Vvc	RETOURNER
à	S	À
Paris	Nc	PARI
,	Fw	,
je	Pp	JE
viens	Vvc	VENIR
prendre	Vvn	PRENDRE
congé	Nc	CONGÉ
de	S	DE
vous	Pp	VOUS
,	Fw	,
mes	Ds	MON
chers	Ag	CHER
enfants	Nc	ENFANT
.	Fs	.
Ah	I	AH
!	Fs	!
Ne	Rp	NE
partez	Vvc	PARTIR
que	Rg	QUE
demain	Rg	DEMAIN
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
prie	Vvc	PRIER
,	Fw	,
vous	Pp	VOUS
ne	Rp	NE
me	Pp	JE
refuserez	Vvc	REFUSER
pas	Rg	PAS
d’être	Ag	d’être
témoin	Nc	TÉMOIN
...	Fs	...
Je	Vvc	Je
ne	Rp	NE
puis	Vvc	POUVOIR
différer	Vvn	DIFFÉRER
mon	Ds	MON
départ	Nc	DÉPART
.	Fs	.
Je	Pp	JE
viens	Vvc	VENIR
de	S	DE
recevoir	Vvn	RECEVOIR
des	Dn	UN
nouvelles	Ag	NOUVEAU
d’une	Nc	d’une
affaire	Nc	AFFAIRE|AFFAIRÉ
dont	Pr	DONT
j’attendais	Vvc	j’attendais
la	Da	LE
conclusion	Nc	CONCLUSION
avec	S	AVEC
impatience	Nc	IMPATIENCE
;	Fw	;
elle	Pp	IL
est	Vuc	ÊTRE
finie	Ge	FINIR
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
que	Cs	QUE
je	Pp	JE
parte	Vvc	PARTIR
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
quelle	Dt	QUEL
affaire	Nc	AFFAIRE|AFFAIRÉ
,	Fw	,
Madame	Nc	MADAME
Carmin	Ag	CARMIN
;	Fw	;
sont	Vuc	ÊTRE
-ce	Vvc	-ce
des	Dn	UN
laines	Nc	LAINE
d’Hollande	Nc	d’Hollande
,	Fw	,
d’Angleterre	Nc	d’Angleterre
,	Fw	,
qui	Pr	QUI
vous	Pp	VOUS
arrivent	Vvc	ARRIVER
?	Fs	?
Ah	I	AH
!	Fs	!
Fi	Rg	FI
donc	Rg	DONC
:	Fw	:
rien	Pi	RIEN
moins	Rg	MOINS
que	Cs	QUE
cela	Pd	CELA
,	Fw	,
Mesdames	Vvc	Mesdames
.	Fs	.
Je	Pp	JE
quitte	Vvc	QUITTER
le	Da	LE
négoce	Nc	NÉGOCE
,	Fw	,
je	Pp	JE
m’y	Vvc	m’y
suis	Vuc	ÊTRE
enrichie	Ge	ENRICHIR
,	Fw	,
cela	Pd	CELA
est	Vuc	ÊTRE
au-dessous	Rg	AU-DESSOUS
de	S	DE
moi	Pp	JE
à	S	À
l’heure	Nc	l’heure
qu’il	Nc	qu’il
est	Vuc	ÊTRE
;	Fw	;
j’achète	Vvc	j’achète
une	Dn	UN
Charge	Nc	CHARGE|CHARGÉ
à	S	À
mon	Ds	MON
mari	Nc	MARI
,	Fw	,
je	Pp	JE
me	Pp	JE
fais	Vvc	FAIRE
Présidente	Vvc	Présidente
.	Fs	.
Vous	Pp	VOUS
,	Fw	,
Présidente	Vvc	Présidente
,	Fw	,
Madame	Nc	MADAME
Carmin	Ag	CARMIN
?	Fs	?
Moi	Pp	JE
-même	Vvc	-même
.	Fs	.
Madame	Nc	MADAME
Carmin	Ag	CARMIN
Présidente	Vvc	Présidente
!	Fs	!
Oui	Rg	OUI
,	Fw	,
Madame	Nc	MADAME
.	Fs	.
Et	Cc	ET
moi	Pp	JE
,	Fw	,
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
Madame	Nc	MADAME
Carmin	Ag	CARMIN
.	Fs	.
Vous	Pp	VOUS
,	Fw	,
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
Oui	Rg	OUI
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Présidente	Vvc	Présidente
.	Fs	.
J’en	Nc	J’en
suis	Vuc	ÊTRE
ravie	Ge	RAVIR
,	Fw	,
Madame	Nc	MADAME
la	Da	LE
Comtesse	Nc	COMTE|COMTESSE
.	Fs	.
Et	Cc	ET
moi	Pp	JE
,	Fw	,
je	Pp	JE
suffoque	Vvc	SUFFOQUER
,	Fw	,
je	Pp	JE
n’en	Nc	n’en
puis	Vvc	POUVOIR
plus	Rg	PLUS
.	Fs	.
Il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
pour	S	POUR
en	Pp	EN
mourir	Vvn	MOURIR
,	Fw	,
je	Pp	JE
n’en	Nc	n’en
reviendrai	Vvc	REVENIR
point	Rg	POINT
.	Fs	.
Voilà	Vvc	Voilà
de	S	DE
belles	Ag	BEAU
fortunes	Nc	FORTUNE
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
Madame	Nc	MADAME
Carmin	Ag	CARMIN
remplira	Vvc	REMPLIR
bien	Rg	BIEN
cette	Dd	CE
place	Nc	PLACE|PLACÉ
là	Rg	LÀ
.	Fs	.
Oh	I	OH
,	Fw	,
ce	Pd	CE
ne	Rp	NE
sera	Vuc	ÊTRE
pas	Rg	PAS
moi	Pp	JE
qui	Pr	QUI
exercerai	Vvc	EXERCER
,	Fw	,
ce	Pd	CE
sera	Vuc	ÊTRE
mon	Ds	MON
mari	Nc	MARI
:	Fw	:
mais	Cc	MAIS
je	Pp	JE
lui	Pp	IL
recommanderai	Vvc	RECOMMANDER
certaines	Di	CERTAIN
affaires	Nc	AFFAIRE|AFFAIRÉ
.	Fs	.
Il	Pp	IL
sera	Vuc	ÊTRE
bon	Ag	BON
d’être	Nc	d’être
de	S	DE
vos	Ds	VOTRE
amies	Nc	AMI|AMIE
.	Fs	.
Ce	Dd	CE
n’est	Ag	n’est
qu’une	Nc	qu’une
Charge	Vvc	CHARGER
de	S	DE
campagne	Nc	CAMPAGNE
,	Fw	,
à	S	À
la	Da	LE
vérité	Nc	VÉRITÉ
,	Fw	,
et	Cc	ET
dans	S	DANS
une	Dn	UN
Élection	Nc	Élection
d’une	Nc	d’une
très	Rg	TRÈS
petite	Ag	PETIT
Ville	Vvc	Ville
du	S+Da	DE+LE
côté	Nc	CÔTÉ
d’Estampes	Ag	d’Estampes
:	Fw	:
mais	Cc	MAIS
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
de	Dn	UN
grands	Ag	GRAND
agréments	Nc	AGRÉMENT
,	Fw	,
de	S	DE
grandes	Ag	GRAND
prérogatives	Nc	PRÉROGATIVE
.	Fs	.
Hé	Vvc	Hé
,	Fw	,
quelles	Dt	QUEL
prérogatives	Nc	PRÉROGATIVE
,	Fw	,
Madame	Nc	MADAME
?	Fs	?
On	Pp	ON
est	Vuc	ÊTRE
maître	Nc	MAÎTRE
absolu	Ag	ABSOLU
dans	S	DANS
le	Da	LE
pays	Nc	PAYS
,	Fw	,
premièrement	Rg	PREMIÈREMENT
:	Fw	:
il	Pp	IL
n’y	Vvc	n’y
a	Vuc	AVOIR
,	Fw	,
je	Pp	JE
crois	Vvc	CROIRE|CROÎTRE
,	Fw	,
dans	S	DANS
toute	Di	TOUT
la	Da	LE
Juridiction	Nc	JURIDICTION
,	Fw	,
ni	Cc	NI
Procureurs	Nc	PROCUREUR
,	Fw	,
ni	Cc	NI
Avocats	Nc	AVOCAT
,	Fw	,
ni	Cc	NI
Conseillers	Nc	CONSEILLER
même	Ag	MÊME
,	Fw	,
et	Cc	ET
Monsieur	Nc	MONSIEUR
le	Pp	IL
Président	Vvc	Président
peut	Vvc	POUVOIR
se	Pp	IL
vanter	Vvn	VANTER
qu’il	Nc	qu’il
est	Vuc	ÊTRE
lui	Pp	IL
seul	Ag	SEUL
toute	Di	TOUT
la	Da	LE
Justice	Nc	JUSTICE
;	Fw	;
cela	Pd	CELA
est	Vuc	ÊTRE
fort	Rg	FORT
beau	Ag	BEAU
,	Fw	,
Mesdames	Vvc	Mesdames
.	Fs	.
Oui	Rg	OUI
,	Fw	,
cela	Pd	CELA
est	Vuc	ÊTRE
fort	Rg	FORT
beau	Ag	BEAU
de	S	DE
voir	Vvn	VOIR
Monsieur	Ag	Monsieur
Carmin	Nc	CARMIN
juger	Vvn	JUGER
tout	Di	TOUT
seul	Ag	SEUL
,	Fw	,
lui	Pp	IL
qui	Pr	QUI
ne	Rp	NE
sait	Vvc	SAVOIR
ni	Cc	NI
latin	Ag	LATIN
,	Fw	,
ni	Cc	NI
Pratique	Ag	PRATIQUE
,	Fw	,
ni	Cc	NI
lire	Vvn	LIRE
,	Fw	,
ni	Cc	NI
écrire	Vvn	ÉCRIRE
,	Fw	,
peut-être	Rg	PEUT-ÊTRE
.	Fs	.
Oh	I	OH
,	Fw	,
je	Pp	JE
vous	Pp	VOUS
demande	Vvc	DEMANDER
pardon	Rg	PARDON
,	Fw	,
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
,	Fw	,
il	Pp	IL
signera	Vvc	SIGNER
son	Ds	SON
nom	Nc	NOM
fort	Rg	FORT
librement	Rg	LIBREMENT
,	Fw	,
et	Cc	ET
avec	S	AVEC
un	Dn	UN
paraphe	Nc	PARAPHE
,	Fw	,
encore	Rg	ENCORE
,	Fw	,
à	S	À
cause	Nc	CAUSE
de	S	DE
sa	Ds	SON
Charge	Nc	CHARGE|CHARGÉ
.	Fs	.
Mais	Cc	MAIS
ce	Dd	CE
n’est	Nc	n’est
pas	Rg	PAS
assez	Rg	ASSEZ
de	S	DE
savoir	Vvn	SAVOIR
signer	Vvn	SIGNER
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
juger	Vvn	JUGER
auparavant	Rg	AUPARAVANT
.	Fs	.
Belle	Ag	BEAU
bagatelle	Nc	BAGATELLE
!	Fs	!
Il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
dans	S	DANS
la	Da	LE
Ville	Nc	VILLE
un	Dn	UN
Tabellion	Nc	TABELLION
qui	Pr	QUI
règle	Vvc	RÉGLER
tout	Pi	TOUT
,	Fw	,
moyennant	S	MOYENNANT
trente	Nc	TRENTE
ou	Cc	OU
quarante	Rg	QUARANTE
francs	Ag	FRANC
par	S	PAR
année	Nc	ANNÉE
;	Fw	;
et	Cc	ET
puis	Vvc	POUVOIR
quand	Cs	QUAND
on	Pp	ON
a	Vuc	AVOIR
bons	Ag	BON
sens	Nc	SENS
,	Fw	,
bon	Ag	BON
esprit	Nc	ESPRIT
,	Fw	,
on	Pp	ON
n’a	Vvc	n’a
qu’à	Vvc	qu’à
juger	Vvn	JUGER
à	S	À
la	Da	LE
rencontre	Nc	RENCONTRE
,	Fw	,
c’en	Nc	c’en
est	Vuc	ÊTRE
assez	Rg	ASSEZ
pour	S	POUR
des	Dn	UN
gens	Nc	GENS|GENT
de	S	DE
Province	Nc	PROVINCE
.	Fs	.
Assurément	Vvc	Assurément
,	Fw	,
et	Cc	ET
les	Pp	ILS
Juges	Vvc	JUGER
les	Da	LE
plus	Rg	PLUS
habiles	Ag	HABILE
ne	Rp	NE
sont	Vuc	ÊTRE
pas	Rg	PAS
toujours	Rg	TOUJOURS
les	Da	LE
plus	Rg	PLUS
équitables	Ag	ÉQUITABLE
.	Fs	.
Au	S+Da	À+LE
bout	Nc	BOUT
du	S+Da	DE+LE
compte	Nc	COMPTE
,	Fw	,
ce	Dd	CE
n’est	Nc	n’est
pas	Rg	PAS
mon	Ds	MON
affaire	Nc	AFFAIRE|AFFAIRÉ
.	Fs	.
Je	Pp	JE
ne	Rp	NE
veux	Vvc	VOULOIR
qu’un	Ag	qu’un
rang	Nc	RANG
,	Fw	,
moi	Pp	JE
,	Fw	,
cela	Pd	CELA
m’en	Ag	m’en
donne	Vvc	DONNER
un	Pi	UN
qui	Pr	QUI
me	Pp	JE
distingue	Vvc	DISTINGUER
.	Fs	.
Monsieur	Nc	MONSIEUR
Carmin	Ag	CARMIN
est	Vuc	ÊTRE
un	Dn	UN
bon	Ag	BON
homme	Nc	HOMME
qui	Pr	QUI
aime	Vvc	AIMER
la	Da	LE
retraite	Nc	RETRAITE|RETRAITÉ
,	Fw	,
la	Da	LE
campagne	Nc	CAMPAGNE
:	Fw	:
il	Pp	IL
jugera	Vvc	JUGER
comme	Cs	COMME
il	Pp	IL
pourra	Vvc	POUVOIR
.	Fs	.
Il	Pp	IL
vivra	Vvc	VIVRE
content	Ag	CONTENT
dans	S	DANS
sa	Ds	SON
petite	Ag	PETIT
Ville	Nc	VILLE
,	Fw	,
et	Cc	ET
moi	Pp	JE
à	S	À
Paris	Nc	PARI
,	Fw	,
comme	Cs	COMME
une	Dn	UN
Présidente	Nc	Présidente
.	Fs	.
Et	Cc	ET
moi	Pp	JE
,	Fw	,
comme	Cs	COMME
une	Dn	UN
Comtesse	Nc	COMTE|COMTESSE
.	Fs	.
Nous	Pp	NOUS
nous	Pp	NOUS
retrouverons	Vvc	RETROUVER
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Présidente	Vvc	Présidente
.	Fs	.
Adieu	Nc	ADIEU
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
Madame	Nc	MADAME
Blandineau	Nc	Blandineau
;	Fw	;
à	S	À
mon	Ds	MON
retour	Nc	RETOUR
nous	Pp	NOUS
ferons	Vvc	FAIRE|FERRER
ensemble	Rg	ENSEMBLE
quelque	Di	QUELQUE
partie	Nc	PARTIE
de	S	DE
plaisir	Nc	PLAISIR
.	Fs	.
Adieu	Nc	ADIEU
,	Fw	,
Madame	Nc	MADAME
Carmin	Ag	CARMIN
,	Fw	,
bon	Ag	BON
voyage	Nc	VOYAGE
.	Fs	.
Votre	Ds	VOTRE
très	Rg	TRÈS
humble	Ag	HUMBLE
servante	Nc	SERVANT|SERVANTE|SERVITEUR
,	Fw	,
Madame	Nc	MADAME
.	Fs	.
Vous	Pp	VOUS
m’avez	Vvc	m’avez
vendu	Ge	VENDRE
des	S+Da	DE+LE|DE+LES
laines	Nc	LAINE
éventées	Ge	ÉVENTER
,	Fw	,
que	Cs	QUE
je	Pp	JE
vous	Pp	VOUS
renverrai	Vvc	RENVOYER
,	Fw	,
Madame	Nc	MADAME
la	Pp	IL
Présidente	Vvc	Présidente
.	Fs	.
On	Pp	ON
vous	Pp	VOUS
les	Pp	ILS
changera	Vvc	CHANGER
,	Fw	,
Madame	Nc	MADAME
l’Élue	Vvc	l’Élue
.	Fs	.
Adieu	Nc	ADIEU
,	Fw	,
mon	Ds	MON
agréable	Ag	AGRÉABLE
Comtesse	Nc	COMTE|COMTESSE
.	Fs	.
Adieu	Nc	ADIEU
,	Fw	,
ma	Ds	MON
chère	Nc	CHÈRE
Présidente	Vvc	Présidente
.	Fs	.
Quelle	Dt	QUEL
politesse	Nc	POLITESSE
il	Pp	IL
y	Pp	Y
a	Vuc	AVOIR
parmi	S	PARMI
les	Da	LE
femmes	Nc	FEMME
de	S	DE
qualité	Nc	QUALITÉ
!	Fs	!
Au	S+Da	À+LE
bout	Nc	BOUT
du	S+Da	DE+LE
compte	Nc	COMPTE
,	Fw	,
voilà	S	VOILÀ
de	Dn	UN
belles	Ag	BEAU
fortunes	Nc	FORTUNE
!	Fs	!
Une	Dn	UN
femme	Nc	FEMME
placée	Ge	PLACER
,	Fw	,
une	Dn	UN
femme	Nc	FEMME
en	Pp	EN
Charge	Vvc	CHARGER
.	Fs	.
Je	Pp	JE
n’y	Vvc	n’y
puis	Vvc	POUVOIR
plus	Rg	PLUS
tenir	Vvn	TENIR
,	Fw	,
je	Pp	JE
suis	Vuc	ÊTRE
au	S+Da	À+LE
désespoir	Nc	DÉSESPOIR
;	Fw	;
Monsieur	Ag	Monsieur
Blandineau	Nc	Blandineau
en	Pp	EN
achètera	Vvc	ACHETER
une	Pi	UN
qui	Pr	QUI
m’ennoblisse	Vvc	m’ennoblisse
,	Fw	,
ou	Cc	OU
je	Pp	JE
ne	Rp	NE
le	Pp	IL
veux	Vvc	VOULOIR
voir	Vvn	VOIR
de	S	DE
ma	Ds	MON
vie	Nc	VIE
.	Fs	.
Monsieur	Nc	MONSIEUR
l’Élu	Ag	l’Élu
cessera	Vvc	CESSER
de	S	DE
l’être	Nc	l’être
,	Fw	,
ou	Cc	OU
je	Pp	JE
trouverai	Vvc	TROUVER
moyen	Nc	MOYEN
de	S	DE
n’être	Vvc	n’être
plus	Rg	PLUS
sa	Ds	SON
femme	Nc	FEMME
.	Fs	.
Courage	Nc	COURAGE
,	Fw	,
Madame	Nc	MADAME
,	Fw	,
voilà	S	VOILÀ
le	Da	LE
champ	Nc	CHAMP|CHAMPAGNE
de	S	DE
bataille	Nc	BATAILLE
qui	Pr	QUI
vous	Pp	VOUS
demeure	Vvc	DEMEURER
,	Fw	,
et	Cc	ET
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
qu’il	Nc	qu’il
crève	Vvc	CREVER
une	Dn	UN
douzaine	Nc	DOUZAINE
de	S	DE
Bourgeoise	Vvc	Bourgeoise
de	S	DE
cette	Dd	CE
affaire	Nc	AFFAIRE|AFFAIRÉ
-ci	Ag	-ci
.	Fs	.
C’est	Nc	C’est
mon	Ds	MON
beau-frère	Nc	BEAU-FRÈRE
à	S	À
qui	Pr	QUI
j’en	Nc	j’en
veux	Vvc	VOULOIR
le	Da	LE
plus	Rg	PLUS
.	Fs	.
Il	Pp	IL
m’a	Vvc	m’a
tantôt	Rg	TANTÔT
traité	Ge	TRAITER
de	S	DE
folle	Nc	FOLLE|FOU
,	Fw	,
quand	Cs	QUAND
je	Pp	JE
lui	Pp	IL
parlais	Vvc	PARLER
de	S	DE
devenir	Vvn	DEVENIR
Comtesse	Nc	COMTE|COMTESSE
,	Fw	,
je	Pp	JE
veux	Vvc	VOULOIR
qu’il	Nc	qu’il
devienne	Vvc	DEVENIR
fou	Ag	FOU
,	Fw	,
lui	Pp	IL
de	S	DE
voir	Vvn	VOIR
que	Cs	QUE
je	Pp	JE
lui	Pp	IL
ai	Vuc	AVOIR
